,layer,position,acc,f1
276,12,12,1.0,1.0
277,12,13,0.58,0.58
278,12,14,0.9,0.9
279,12,15,0.92,0.92
280,12,16,1.0,1.0
281,12,17,0.98,0.98
282,12,18,0.74,0.74
283,12,19,0.92,0.92
284,12,20,0.98,0.98
285,12,21,1.0,1.0
286,13,0,0.52,0.52
287,13,1,0.6,0.6
288,13,2,0.6,0.6
289,13,3,0.6,0.6
290,13,4,0.6,0.6
291,13,5,1.0,1.0
292,13,6,1.0,1.0
293,13,7,1.0,1.0
294,13,8,1.0,1.0
295,13,9,1.0,1.0
296,13,10,1.0,1.0
297,13,11,1.0,1.0
298,13,12,1.0,1.0
299,13,13,0.6,0.6
300,13,14,0.92,0.92
301,13,15,0.92,0.92
302,13,16,0.98,0.98
303,13,17,0.9,0.9
304,13,18,0.7,0.7
305,13,19,0.98,0.98
306,13,20,0.98,0.98
307,13,21,1.0,1.0
308,14,0,0.52,0.52
309,14,1,0.6,0.6
310,14,2,0.6,0.6
311,14,3,0.6,0.6
312,14,4,0.6,0.6
313,14,5,1.0,1.0
314,14,6,1.0,1.0
315,14,7,1.0,1.0
316,14,8,1.0,1.0
317,14,9,1.0,1.0
318,14,10,1.0,1.0
319,14,11,1.0,1.0
320,14,12,1.0,1.0
321,14,13,0.56,0.56
322,14,14,0.92,0.92
323,14,15,0.92,0.92
324,14,16,0.98,0.98
325,14,17,0.86,0.8599999999999999
326,14,18,0.7,0.7
327,14,19,0.98,0.98
328,14,20,0.98,0.98
329,14,21,1.0,1.0
330,15,0,0.52,0.52
331,15,1,0.6,0.6
332,15,2,0.6,0.6
333,15,3,0.6,0.6
334,15,4,0.6,0.6
335,15,5,1.0,1.0
336,15,6,1.0,1.0
337,15,7,1.0,1.0
338,15,8,1.0,1.0
339,15,9,1.0,1.0
340,15,10,1.0,1.0
341,15,11,1.0,1.0
342,15,12,1.0,1.0
343,15,13,0.54,0.54
344,15,14,0.92,0.92
345,15,15,0.92,0.92
346,15,16,0.98,0.98
347,15,17,0.84,0.8399999999999999
348,15,18,0.7,0.7
349,15,19,1.0,1.0
350,15,20,0.98,0.98
351,15,21,1.0,1.0
352,16,0,0.52,0.52
353,16,1,0.54,0.54
354,16,2,0.6,0.6
355,16,3,0.6,0.6
356,16,4,0.6,0.6
357,16,5,1.0,1.0
358,16,6,1.0,1.0
359,16,7,1.0,1.0
360,16,8,1.0,1.0
361,16,9,1.0,1.0
362,16,10,1.0,1.0
363,16,11,1.0,1.0
364,16,12,1.0,1.0
365,16,13,0.54,0.54
366,16,14,0.94,0.94
367,16,15,0.92,0.92
368,16,16,0.96,0.96
369,16,17,0.84,0.8399999999999999
370,16,18,0.7,0.7
371,16,19,1.0,1.0
372,16,20,1.0,1.0
373,16,21,1.0,1.0
374,17,0,0.52,0.52
375,17,1,0.6,0.6
376,17,2,0.6,0.6
377,17,3,0.6,0.6
378,17,4,0.6,0.6
379,17,5,1.0,1.0
380,17,6,1.0,1.0
381,17,7,1.0,1.0
382,17,8,1.0,1.0
383,17,9,1.0,1.0
384,17,10,1.0,1.0
385,17,11,1.0,1.0
386,17,12,1.0,1.0
387,17,13,0.48,0.48
388,17,14,0.96,0.96
389,17,15,0.92,0.92
390,17,16,0.96,0.96
391,17,17,0.82,0.82
392,17,18,0.72,0.72
393,17,19,0.98,0.98
394,17,20,0.96,0.96
395,17,21,1.0,1.0
396,18,0,0.52,0.52
397,18,1,0.6,0.6
398,18,2,0.6,0.6
399,18,3,0.6,0.6
400,18,4,0.6,0.6
401,18,5,1.0,1.0
402,18,6,1.0,1.0
403,18,7,1.0,1.0
404,18,8,1.0,1.0
405,18,9,1.0,1.0
406,18,10,1.0,1.0
407,18,11,1.0,1.0
408,18,12,1.0,1.0
409,18,13,0.44,0.44
410,18,14,0.94,0.94
411,18,15,0.92,0.92
412,18,16,0.96,0.96
413,18,17,0.8,0.8000000000000002
414,18,18,0.7,0.7
415,18,19,0.98,0.98
416,18,20,0.96,0.96
417,18,21,1.0,1.0
418,19,0,0.52,0.52
419,19,1,0.6,0.6
420,19,2,0.6,0.6
421,19,3,0.6,0.6
422,19,4,0.6,0.6
423,19,5,1.0,1.0
424,19,6,1.0,1.0
425,19,7,1.0,1.0
426,19,8,1.0,1.0
427,19,9,1.0,1.0
428,19,10,1.0,1.0
429,19,11,1.0,1.0
430,19,12,1.0,1.0
431,19,13,0.46,0.46
432,19,14,0.94,0.94
433,19,15,0.94,0.94
434,19,16,0.96,0.96
435,19,17,0.78,0.78
436,19,18,0.68,0.68
437,19,19,0.98,0.98
438,19,20,0.96,0.96
439,19,21,1.0,1.0
440,20,0,0.52,0.52
441,20,1,0.6,0.6
442,20,2,0.54,0.54
443,20,3,0.54,0.54
444,20,4,0.54,0.54
445,20,5,1.0,1.0
446,20,6,1.0,1.0
447,20,7,1.0,1.0
448,20,8,1.0,1.0
449,20,9,1.0,1.0
450,20,10,1.0,1.0
451,20,11,1.0,1.0
452,20,12,0.98,0.98
453,20,13,0.48,0.48
454,20,14,0.92,0.92
455,20,15,0.96,0.96
456,20,16,0.96,0.96
457,20,17,0.74,0.74
458,20,18,0.66,0.66
459,20,19,0.94,0.94
460,20,20,0.92,0.92
461,20,21,1.0,1.0
462,21,0,0.52,0.52
463,21,1,0.6,0.6
464,21,2,0.6,0.6
465,21,3,0.6,0.6
466,21,4,0.6,0.6
467,21,5,1.0,1.0
468,21,6,1.0,1.0
469,21,7,1.0,1.0
470,21,8,1.0,1.0
471,21,9,1.0,1.0
472,21,10,1.0,1.0
473,21,11,1.0,1.0
474,21,12,1.0,1.0
475,21,13,0.54,0.54
476,21,14,0.92,0.92
477,21,15,0.94,0.94
